s_m;x_m;y_m;psi_rad;kappa_radpm;vx_mps;ax_mps2
286.9571636;-3.2268907;-37.5054769;1.2789181;0.0033791;11.0502927;2.9177373
287.0571487;-3.3226518;-37.476722;1.2792485;0.0032296;11.0766615;2.9018335
287.1571338;-3.4184219;-37.447998;1.2795639;0.0030802;11.1028244;2.8860484
287.2571189;-3.5142012;-37.4193035;1.2798644;0.0029308;11.128784;2.8703808
287.3571039;-3.6099886;-37.3906371;1.28015;0.0027813;11.1545427;2.8548293
287.457089;-3.7057842;-37.3619973;1.2804206;0.0026319;11.1801031;2.8393925
287.5570741;-3.8015871;-37.3333827;1.2806763;0.0024825;11.2054673;2.8240691
287.6570592;-3.8973973;-37.3047919;1.280917;0.002333;11.2306379;2.8088578
287.7570442;-3.993214;-37.2762235;1.2811428;0.0021836;11.2556171;2.7937574
287.8570293;-4.0890371;-37.2476759;1.2813537;0.0020342;11.2804071;2.7787665
287.9570144;-4.1848659;-37.2191479;1.2815496;0.0018847;11.3050101;2.763884
288.0569995;-4.2807002;-37.1906379;1.2817306;0.0017353;11.3294284;2.7491086
288.1569845;-4.3765393;-37.1621446;1.2818966;0.0015859;11.3536641;2.7344392
288.2569696;-4.472383;-37.1336664;1.2820477;0.0014364;11.3777192;2.7198745
288.3569547;-4.5682307;-37.105202;1.2821838;0.001287;11.4015958;2.7054135
288.4569398;-4.6640822;-37.0767499;1.282305;0.0011375;11.425296;2.691055
288.5569248;-4.7599368;-37.0483088;1.2824113;0.0009881;11.4488218;2.6767979
288.6569099;-4.8557943;-37.0198771;1.2825026;0.0008387;11.472175;2.6626411
288.756895;-4.9516541;-36.9914534;1.282579;0.0006892;11.4953577;2.6485835
288.8568801;-5.0475159;-36.9630364;1.2826405;0.0005398;11.5183717;2.6346241
288.9568651;-5.1433792;-36.9346245;1.282687;0.0003903;11.5412188;2.6207619
289.0568502;-5.2392437;-36.9062164;1.2827185;0.0002409;11.563901;2.6069957
289.1568353;-5.3351088;-36.8778106;1.2827351;9.15e-05;11.58642;2.5933247
289.2568204;-5.4309742;-36.8494056;1.2827368;-5.8e-05;11.6087775;2.5797478
